Name,Wiki Name,Party,Wiki search,Wiki Output
Murthy  Shri Bayya Suryanarayana,Bayya Suryanarayana Murthy,Congress,Bayya Suryanarayana Murthy Congress,"Bayya Suryanarayana Murthy, a.k.a. B. S. Murthy (29 October 1906 – 22 May 1979) was a journalist, poet, short story writer, essayist, and a six-term Parliamentarian He was born in 1906 to B. Nagaiah at Nagaram in Razole taluk, in East Godavari district, Andhra Pradesh.
He was awarded B.A, and BEd degrees from Government Arts College at Rajahmundry, Christian college and Law college in Madras. His proficiency in English earned him gold medals and several trophies for inter-collegiate debates and elocutions. He also served as the vice-president of the Andhra Provincial Journalists Association.
In the year 1937 he was elected as the Member of Parliament of Madras Legislative Assembly under the then affiliate party Indian National Congress. He then became the Minister for Industries and Labour of Madras Government in 1937 to 1939 and again in 1946 to 1947.
He was involved in the Indian freedom movement and took part in an individual satyagraha. During the years 1940-1942, he took active part in the Quit India Movement and was imprisoned for a period of about two years. In 1952, after India attained independence, he contested from Eluru constituency and was elected to the 1st Lok Sabha. In 1957 he contested for the Kakinada seat as an Indian National Congress candidate and won the election.
In the years 1962, 1967 and 1972, he was elected to the Lok Sabha for the Amalapuram constituency. Between 1962-1967 he served as Minister for Health and Family Welfare in the Union Cabinet. He also served as the Member of Parliamentary Delegation to China in the year 1956, Parliamentary Secretary in the Ministry of Community development and Cooperation in March 1958, and in March 1959 to January 1966 served as the Minister for Community Development and Cooperation. In 1962 he led a delegation to Rio de Janeiro for the social service world conference.
In May 1970 he served as the leader of the Indian Delegation at the 23rd world health assembly in Geneva. Due to his services in the Indian system of medicine. he was awarded the Ayurveda Bandhu.
He had deep interests in youth movements and in the welfare of the weaker sections.  He led the Satyagraha at Tirumala Venkateswara temple demanding the entry of the underprivileged in 1947 and was successful in this campaign. To honour Perunthalaivar M. C. Rajah works, Bayya Suryanarayana Murthy founded the M.C. Rajah Memorial Hostel for the college students of the Scheduled Classes in 1944 at Saidapet in Madras.He was an eminent author and was the editor of the Telugu weekly magazine Navjivan. He introduced essay prizes on the theme on social justice at both Osmania University and the Andhra University. He was also invited for a three-month lecture tour at Harvard University, in the United States of America. He has travelled extensively to countries like Europe, Burma, China, U.K, Thailand, Geneva, Uganda, Zurich, Frankfurt, Berne, U.S.S.R and West Berlin.
Murthy had three siblings. In 1927 he married Adilaxmi and they had five children; three sons, Late, Shri Bayya Nageshwara Rao, Late Shri Bayya Prakash Rao, Dr. Bayya Kishore and two daughters, Bayya Swarajyalakshmi and Kadevari Vijayalakshmi.
He was Hindu by religion. He had an excellent command over the English language and had written several short stories, essays and poems during his lifetime.  Some the books which he authored include Revolt of Six Cores, Depressed and Oppressed: Forever in Agony, The Glimmer in Darkness, Always at the Helm of Service, Thou, the Curse (which was an under-print) and Andhra Virakumar (written in Telugu).
He died in 1979 and was succeeded by Kusuma Krishna Murthy. He is remembered today as a prominent leader and a parliamentarian in India. He had a very active political career and made achievements which earned him recognition for his exemplary contributions to the people of India."
Murthy  Shri K.S.R.,K.S.R. Murthy,Indian National Congress,K.S.R. Murthy Indian National Congress,"K. S. R. Murthy was a member of the 11th Lok Sabha of India. He represented the Amalapuram constituency of Andhra Pradesh  and was a member of the Indian National Congress. He was in Prajarajyam party for some time and later resigned from the Party to join congress again. Prior to entering politics he served in Indian Administrative Service and rose to the level of secretary to Government of India.Lives in Hyderabad, Andhra Pradesh. He has three children (Srikanth, Sumedha and Sanjay) with his late Wife Smt Anasuya Devi Murthy.

"
Murthy  Shri M. Rajasekara,M. Rajasekara Murthy,Congress (I),M. Rajasekara Murthy Congress (I),"M. Rajasekara Murthy (10 May 1922 – 5 December 2010) was an Indian politician, who was a member 8th Lok Sabha the lower house of the Indian Parliament from the Lok Sabha constituency of Mysore in Karnataka."
Murthy  Shri M.V.Chandrashekhara,M.V.Chandrashekhara Murthy,Indian National Congress,M.V.Chandrashekhara Murthy Indian National Congress,#N/A
Murti  Shri Missula Suryanarayana,Missula Suryanarayana Murti,Congress,Missula Suryanarayana Murti Congress,Missula Suryanarayana Murti (4 February 1911 – August 1973) was an Indian politician and Member of Parliament.
Murugaiah  Shri A.R.,A.R. Murugaiah,Congress (I),A.R. Murugaiah Congress (I),R. Murugaiah Pandian is an Indian politician and  Member of the Legislative Assembly. He was elected to the Tamil Nadu legislative assembly as an Anna Dravida Munnetra Kazhagam candidate from Ambasamudram constituency in 1991 and 2016 elections. He served as chairman of Tamil Nadu Housing Board from 2011 to 2016.
Murugaiyan  Shri K.,K. Murugaiyan,Communist Party of India,K. Murugaiyan Communist Party of India,"K. Murugaiyan is an Indian politician, belonging to the Communist Party of India (CPI). He was a bonded labourer.K. Murugaiyan was elected to the Lok Sabha (lower house of the Parliament of India) from the Nagapattinam seat a June 1979 by-election. The by-election had been called after the murder of the incumbent CPI parliamentarian S.G. Murugaiyan.K. Murugaiyan lost the Nagapattinam seat in the 1980 Indian general election. He finished in second place with 49.02% of the votes. He was close to regaining the seat in the 1984 Indian general election, finishing in second place with 49.53% of the votes."
Murugaiyan  Shri Sithamalli Govindan,Sithamalli Govindan Murugaiyan,Communist Party,Sithamalli Govindan Murugaiyan Communist Party,"Sithamalli Govindan Murugaiyan (15 July 1931 – 5 January 1979), usually called S.G. Murugaiyan (Tamil: எஸ்.ஜி.முருகையன்), was a communist politician in Tamil Nadu, India. S.G. Murugaiyan was a prominent leader of struggles of Dalits in Mannargudi taluk, and became the first Dalit in the state to be elected as revenue block chairman. In 1977 he was elected Member of Parliament. Two years later he was assassinated."
Muruganantham  Shri S.A.,S.A. Muruganantham,Communist Party,S.A. Muruganantham Communist Party,"S. A. Muruganantham (April 10, 1926) was an Indian politician and a leader of the Communist Party of India (CPI). He was a member of the 5th Lok Sabha, representing the Tirunelveli constituency, Tamil Nadu."
Murugesan  Shri Arasan,Arasan Murugesan,All India Anna Dravida Munnetra Kazhagam,Arasan Murugesan All India Anna Dravida Munnetra Kazhagam,#N/A
Murugesan  Dr. N.,Dr. N. Murugesan,All India Anna Dravida Munnetra Kazhagam,Dr. N. Murugesan All India Anna Dravida Munnetra Kazhagam,Karur is a Lok Sabha (Parliament of India) constituency in Tamil Nadu.
Murugesan  Shri S.,S. Murugesan,All India Anna Dravida Munnetra Kazhagam,S. Murugesan All India Anna Dravida Munnetra Kazhagam,"S. Murugesan is an Indian politician and former Member of Parliament elected from Tamil Nadu. He was elected to the Lok Sabha from Tenkasi constituency as an Anna Dravida Munnetra Kazhagam candidate in 1998, and 1999 elections.

"
Murugian  Shri S.,S. Murugian,Dravida Munnetra Kazhagam,S. Murugian Dravida Munnetra Kazhagam,#N/A
Musafir  Sardar Gurmukh Singh,Sardar Gurmukh Singh Musafir,Congress,Sardar Gurmukh Singh Musafir Congress,"Khushwant Singh (born Khushal Singh, 2 February 1915 – 20 March 2014) was an Indian author, lawyer, diplomat, journalist and politician. His experience in the 1947 Partition of India inspired him to write Train to Pakistan in 1956 (made into film in 1998), which became his most well-known novel.Born in Punjab, Khushwant Singh was educated in Modern School, New Delhi, St. Stephen's College, and graduated from Government College, Lahore. He studied at King's College London and was awarded an LL.B. from University of London. He was called to the bar at the London Inner Temple. After working as a lawyer in Lahore High Court for eight years, he joined the Indian Foreign Service upon the Independence of India from British Empire in 1947. He was appointed journalist in the All India Radio in 1951, and then moved to the Department of Mass Communications of UNESCO at Paris in 1956. These last two careers encouraged him to pursue a literary career. As a writer, he was best known for his trenchant secularism, humour, sarcasm and an abiding love of poetry. His comparisons of social and behavioural characteristics of Westerners and Indians are laced with acid wit. He served as the editor of several literary and news magazines, as well as two newspapers, through the 1970s and 1980s. Between 1980-1986 he served as Member of Parliament in Rajya Sabha, the upper house of the Parliament of India.
Khushwant Singh was awarded the Padma Bhushan in 1974; however, he returned the award in 1984 in protest against Operation Blue Star in which the Indian Army raided Amritsar. In 2007 he was awarded the Padma Vibhushan, the second-highest civilian award in India."
Mushar  Shri Kirai,Kirai Mushar,Socialist,Kirai Mushar Socialist,#N/A
Mushran  Col. Ajay Narayan,Col. Ajay Narayan Mushran,Congress (I),Col. Ajay Narayan Mushran Congress (I),#N/A
Muthiah  Shri P.,P. Muthiah,Congress,P. Muthiah Congress,"P. G. Muthiah is an Indian director, cinematographer and film producer, who has been working in the Tamil film industry."
Muthiah  Shri R.,R. Muthiah,All India Anna Dravida Munnetra Kazhagam,R. Muthiah All India Anna Dravida Munnetra Kazhagam,"Sedapatti R. Muthiah (born 4 October 1945) is an Indian politician of the Dravida Munnetra Kazhagam. He was one of the leaders of the All India Anna Dravida Munnetra Kazhagam (AIADMK) from its creation and was second in command in AIADMK till 1998. He is popularly known by the name Sedapattiar. He remains a popular politician in Madurai district and has a mass support base in T.Kallupatti Union.

"
Muthukrishnan  Shri M.,M. Muthukrishnan,Congress,M. Muthukrishnan Congress,M. Muthukrishnan was an Indian politician and former Member of Parliament elected from Tamil Nadu. He was elected to the Lok Sabha from Vellore constituency as an Indian National Congress candidate in 1951 and 1957 elections.
Muthukumaran  Shri R.,R. Muthukumaran,Congress (I),R. Muthukumaran Congress (I),"Madras Rajagopalan Radhakrishnan (14 April 1907 – 17 September 1979) was an Indian actor and politician active in Tamil plays and films. He was given the title ""Nadigavel"" (spearhead of acting) by Periyar E. V. Ramasamy. He mostly played villain roles, but had also acted in several films as comedian."
Muthuswamy  Shri M.,M. Muthuswamy,Dravida Munnetra Kazhagam,M. Muthuswamy Dravida Munnetra Kazhagam,"Padma Shri Na Muthuswamy (1936 – 24 October 2018) was the art director of Tamil folk theatre group Koothu-P-Pattarai, which is based in Chennai, Tamil Nadu in South India.
Muthuswamy has been described by The Hindu as ""the master of the avant-garde"". Muthusamy also made his first film appearance in Vaazhthugal (2008)."
Muttemwar  Shri Vilas Baburao,Vilas Baburao Muttemwar,Indian National Congress,Vilas Baburao Muttemwar Indian National Congress,#N/A
Muzaffar Hussain  Shri Syed,Syed Muzaffar Hussain,Congress (I),Syed Muzaffar Hussain Congress (I),"Syed Muzaffar Hussain (born 26 August 1966) is an Indian National Congress politician from Mira Bhainder City located in Thane district who has twice served on the Legislative Council for the state of Maharashtra. He was elected as Corporator to the Mira-Bhayander Municipal Council in 1991. He served as First Deputy Mayor of Mira Bhayandar City when Municipal Corporation was formed. He is currently Parliamentary Board Member of Maharashtra Pradesh Congress Committee. Known for his oratory skills he has won Best Parliamentarian, Best Speaker Award by President of India Smt. Pratibatai Patil.
Hussain is an agriculturist, a philanthropist, Real Estate Developer and a businessman by profession, and has helped fund construction of many projects in the district of Thane that have included parks and hospitals, cremation and burial grounds. He was initially elected to the legislative council first in 2004, where he served until 2009 and later from 2010 to 2016. He is Former Youth Congress President of Maharashtra.
Hussain was appointed as one of working presidents along with four others before Maharashtra Legislative Assembly Election of 2019  for the Maharashtra State Congress Committee."
